employee_id,first_name,last_name,department,sub_department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,salary,hire_date,term_date,term_type,term_reason,active_status
138900485,Melisande,Bere,Software,QA,1097818055,6268712051,12104572130,NULL,"Team Lead",114010,"2017-05-17 00:00:00",NULL,NULL,NULL,1
139896362,Barnabas,Arent,Administration,Facilities,7708444201,4609895564,5419153998,12104572130,"Individual Contributor",65914,"2012-09-07 00:00:00",NULL,NULL,NULL,1
141309901,Marian,Newland,Legal,"Intellectual Property",9988968226,5222419382,12104572130,NULL,"Team Lead",93474,"2013-10-10 00:00:00","2015-10-13 00:00:00",Voluntary,"More flexible benefits",0
145744190,Coral,Doerffer,Marketing,"Marketing Research",8236942363,5584969996,9743222543,12104572130,"Individual Contributor",84500,"2019-02-04 00:00:00",NULL,NULL,NULL,1
147680931,Jacob,Galbreth,Sales,"Account Management",3877282292,8143187226,1074347333,12104572130,"Individual Contributor",72557,"2015-04-13 00:00:00",NULL,NULL,NULL,1
147829139,Shannon,Dignall,"Product Development","Product Marketing",3448401754,2316448272,12104572130,NULL,"Team Lead",68328,"2012-08-05 00:00:00","2013-05-25 00:00:00",Involuntary,"Company restructuring",0
149851515,Emmalyn,Pendle,"Customer Service","Customer Support",114604934,8237113481,9657388599,12104572130,"Individual Contributor",67604,"2017-12-31 00:00:00",NULL,NULL,NULL,1
153046653,Zelda,Barnsdall,HR,Training,6030473922,4930496475,8377149542,12104572130,"Individual Contributor",60661,"2021-12-04 00:00:00",NULL,NULL,NULL,1
153162883,Roth,Duetschens,Sales,"Sales Operations",4167242155,2612461749,4098218245,12104572130,"Individual Contributor",72786,"2020-04-26 00:00:00",NULL,NULL,NULL,1
154992144,Portie,Brauner,Marketing,Advertising,6790368933,3567515372,4092540016,12104572130,"Individual Contributor",52767,"2020-10-12 00:00:00",NULL,NULL,NULL,1
157034156,Saunder,Ockendon,Marketing,"Marketing Research",8258486776,2271051594,4092540016,12104572130,"Individual Contributor",88157,"2019-05-03 00:00:00",NULL,NULL,NULL,1
160153511,Fernandina,Moyer,Software,QA,5200779776,1235334166,226422921,12104572130,"Individual Contributor",73144,"2021-07-24 00:00:00","2021-10-02 00:00:00",Voluntary,"More flexible benefits",0
161461539,Tulley,Popov,Procurement,Procurement,8886609535,822744718,12104572130,NULL,"Team Lead",70097,"2021-01-07 00:00:00",NULL,NULL,NULL,1
163183144,Ker,Abade,Software,QA,5200779776,1235334166,7357925070,12104572130,"Individual Contributor",94395,"2020-10-11 00:00:00","2020-12-11 00:00:00",Voluntary,"Found a better opportunity",0
164422733,Baxy,Penwell,Marketing,"Public Relations",6637306671,7505933947,4092540016,12104572130,"Individual Contributor",64416,"2013-01-09 00:00:00","2014-11-25 00:00:00",Involuntary,"Termination for cause",0
169191661,Melody,Seiffert,Sales,"Account Management",318067557,2747567836,4098218245,12104572130,"Individual Contributor",69185,"2014-05-04 00:00:00",NULL,NULL,NULL,1
171231281,Deane,Itscowics,Software,QA,3655330750,2018169686,259741855,12104572130,"Individual Contributor",84754,"2020-07-30 00:00:00",NULL,NULL,NULL,1
173519645,Salem,Kisbey,Finance,Auditing,8890945608,3064528137,5312370235,12104572130,"Individual Contributor",79827,"2018-10-21 00:00:00",NULL,NULL,NULL,1
174743114,Amitie,Abramson,HR,Training,8196851986,5146134789,2874824995,12104572130,"Individual Contributor",55569,"2013-09-16 00:00:00","2014-07-15 00:00:00",Voluntary,"Better salary",0
175139954,Gavan,Trunkfield,Sales,"Account Management",7201791507,1147520789,8057668487,12104572130,"Individual Contributor",72019,"2014-02-08 00:00:00","2016-01-01 00:00:00",Voluntary,"Found a better opportunity",0
175214848,Murvyn,Thelwll,Software,"Technical Support",9606060417,9281160388,9368442131,12104572130,"Individual Contributor",72577,"2015-10-16 00:00:00","2016-10-30 00:00:00",Involuntary,Performance,0
175255021,Nicolis,Friedenbach,HR,Benefits,2010047725,7971865728,5940412697,12104572130,"Individual Contributor",71959,"2018-10-31 00:00:00",NULL,NULL,NULL,1
175827221,Eleanore,Camilleri,Administration,"Executive Assistants",5810684935,1133455702,7922516714,12104572130,"Individual Contributor",55365,"2018-07-15 00:00:00",NULL,NULL,NULL,1
184102475,Emmery,Deathridge,Finance,"Financial Planning",7660853324,3905225288,3225775822,12104572130,"Individual Contributor",75007,"2021-06-28 00:00:00","2021-10-13 00:00:00",Voluntary,"Career change",0
185242609,Mallory,Mulkerrins,Sales,"Sales Operations",1423323651,2231553779,8057668487,12104572130,"Individual Contributor",85284,"2020-02-23 00:00:00",NULL,NULL,NULL,1
186314521,Cori,Brierley,"Product Development","Product Management",7785638811,6592458020,2316448272,12104572130,"Individual Contributor",86283,"2019-11-27 00:00:00","2021-12-24 00:00:00",Voluntary,"More flexible benefits",0
187620871,Hurleigh,Rucklidge,Sales,"Sales Operations",9588662057,5701309242,12104572130,NULL,"Team Lead",91706,"2020-08-06 00:00:00","2020-12-10 00:00:00",Voluntary,"Found a better opportunity",0
188738856,Eugen,Bein,Sales,"Account Management",1590378635,7246033069,2169536929,12104572130,"Individual Contributor",87494,"2019-12-23 00:00:00",NULL,NULL,NULL,1
191147400,Lucais,Skedge,HR,Recruiting,345003369,9510187895,8377149542,12104572130,"Individual Contributor",71660,"2020-02-04 00:00:00",NULL,NULL,NULL,1
192869483,Kerstin,Keig,Administration,Facilities,6638215922,2840761127,3529946098,12104572130,"Individual Contributor",68214,"2013-06-19 00:00:00",NULL,NULL,NULL,1
198705652,Josephina,Siaspinski,Software,"Software Development",8910285795,5942974370,12104572130,NULL,"Team Lead",101488,"2015-07-23 00:00:00",NULL,NULL,NULL,1
200724582,Roderigo,Abarough,Operations,Logistics,7138776396,7406542888,9452810041,12104572130,"Individual Contributor",86582,"2014-10-05 00:00:00","2016-08-17 00:00:00",Voluntary,"Found a better opportunity",0
204088769,Alfie,Grey,Sales,"Sales Operations",5898696889,2305445429,8057668487,12104572130,"Individual Contributor",61077,"2016-03-07 00:00:00",NULL,NULL,NULL,1
206167327,Sargent,Barense,Operations,"Supply Chain",3391078453,5721091419,9843016922,12104572130,"Individual Contributor",85644,"2021-07-12 00:00:00",NULL,NULL,NULL,1
206561429,Manny,Blakiston,"Customer Service","Customer Support",6367159762,8237113481,9657388599,12104572130,"Individual Contributor",62517,"2020-03-14 00:00:00",NULL,NULL,NULL,1
208199686,Agatha,Simms,Marketing,"Marketing Research",2668671041,776913542,9743222543,12104572130,"Individual Contributor",66285,"2015-08-07 00:00:00",NULL,NULL,NULL,1
208295087,Paddy,Strangman,Software,"Technical Support",1411913625,4246658747,9195070758,12104572130,"Individual Contributor",84654,"2012-07-12 00:00:00",NULL,NULL,NULL,1
210504182,Meade,Nealy,Administration,"Executive Assistants",2865077277,7922516714,12104572130,NULL,"Team Lead",61338,"2021-10-24 00:00:00",NULL,NULL,NULL,1
213639128,Atalanta,Sousa,Sales,"Sales Operations",4167242155,2747567836,4098218245,12104572130,"Individual Contributor",81267,"2013-03-29 00:00:00",NULL,NULL,NULL,1
213642904,Garrick,Trippick,Legal,Litigation,5222419382,12104572130,NULL,NULL,Manager,93607,"2021-09-29 00:00:00","2021-09-29 00:00:00",Voluntary,"More flexible benefits",0
216195963,Cayla,Fist,Software,QA,3228223998,1097818055,5959242695,12104572130,"Individual Contributor",94672,"2013-03-29 00:00:00","2015-03-01 00:00:00",Voluntary,"Found a better opportunity",0
216953146,Constantin,Date,Operations,"Supply Chain",8495424892,12104572130,NULL,NULL,Manager,85316,"2020-06-18 00:00:00",NULL,NULL,NULL,1
217845390,Nicolas,Dinkin,Sales,"Account Management",5602375624,2747567836,2169536929,12104572130,"Individual Contributor",79460,"2018-03-03 00:00:00",NULL,NULL,NULL,1
220655712,Kacie,Ackland,Finance,"Financial Planning",9453398201,4077713505,6022803528,12104572130,"Individual Contributor",92425,"2015-01-03 00:00:00",NULL,NULL,NULL,1
220747449,Asher,Barsby,Marketing,"Public Relations",5182865458,8464356447,4092540016,12104572130,"Individual Contributor",87089,"2012-12-21 00:00:00",NULL,NULL,NULL,1
224580109,Alexis,Lingfoot,"Customer Service","Customer Support",1173750454,6384586478,9657388599,12104572130,"Individual Contributor",67442,"2018-12-05 00:00:00","2019-09-29 00:00:00",Involuntary,"Budget cuts",0
225914158,Ora,Kidby,Software,"Software Development",4917030504,5390863100,226422921,12104572130,"Individual Contributor",90785,"2021-07-27 00:00:00",NULL,NULL,NULL,1
225928696,Shadow,Kerrey,Administration,Travel,1418187999,1133455702,1055389029,12104572130,"Individual Contributor",68669,"2013-12-07 00:00:00",NULL,NULL,NULL,1
226422921,Elbert,Besemer,Software,"Software Development",12104572130,NULL,NULL,NULL,Director,104288,"2019-12-15 00:00:00",NULL,NULL,NULL,1
227927589,Fiona,Girodias,Procurement,"Vendor Management",2779139578,8698109743,4284772434,12104572130,"Individual Contributor",72498,"2012-11-16 00:00:00",NULL,NULL,NULL,1
230974861,Channa,Shoveller,Sales,"Business Development",3350437227,2174287284,3142852362,12104572130,"Individual Contributor",59226,"2017-01-11 00:00:00","2018-01-17 00:00:00",Voluntary,"More flexible benefits",0
231906979,Garald,Pryce,Sales,"Account Management",7951572902,2188325953,12104572130,NULL,"Team Lead",84674,"2013-05-14 00:00:00",NULL,NULL,NULL,1
232129329,Xavier,Piper,Software,"Software Development",708917092,1097818055,21007178,12104572130,"Individual Contributor",102264,"2016-03-14 00:00:00",NULL,NULL,NULL,1
233049324,Giulio,Halversen,Software,QA,6505384746,4246658747,7708606215,12104572130,"Individual Contributor",74861,"2016-11-04 00:00:00","2018-09-08 00:00:00",Involuntary,Performance,0
234689502,Gaile,Pinch,R&D,Prototyping,1643798800,9474330457,3314524903,12104572130,"Individual Contributor",66606,"2016-03-28 00:00:00",NULL,NULL,NULL,1
235615350,Karrah,Mathew,Software,"Technical Support",7726927943,9564800263,6129740252,12104572130,"Individual Contributor",78299,"2020-09-26 00:00:00",NULL,NULL,NULL,1
235964032,Reinhard,Blackburn,Marketing,"Marketing Research",796361013,5584969996,9743222543,12104572130,"Individual Contributor",84788,"2012-01-26 00:00:00","2013-12-16 00:00:00",Voluntary,"Found a better opportunity",0
236835196,Barnett,Bratty,Software,"Software Development",6638152289,3116630222,9451957864,12104572130,"Individual Contributor",91509,"2013-12-10 00:00:00",NULL,NULL,NULL,1
237391676,Aurore,Lammie,Operations,Logistics,2422532302,9107093688,9452810041,12104572130,"Individual Contributor",71420,"2018-01-05 00:00:00",NULL,NULL,NULL,1
237393653,Merwin,Lasham,HR,Training,5267318679,7548067465,2874824995,12104572130,"Individual Contributor",65551,"2018-06-30 00:00:00",NULL,NULL,NULL,1
240332981,Obidiah,Stair,Sales,"Sales Operations",3052563332,4527024823,3142852362,12104572130,"Individual Contributor",79373,"2016-05-30 00:00:00",NULL,NULL,NULL,1
240951251,Thebault,Deveraux,Sales,"Account Management",8983780137,2188325953,12104572130,NULL,"Team Lead",93196,"2018-12-31 00:00:00",NULL,NULL,NULL,1
246743702,Jerrome,Cockshtt,Software,"Technical Support",1747471771,9322200876,6268712051,12104572130,"Individual Contributor",74824,"2021-04-10 00:00:00",NULL,NULL,NULL,1
247138593,Samaria,Long,Software,"Technical Support",6212474864,9281160388,5959242695,12104572130,"Individual Contributor",77709,"2020-10-25 00:00:00","2021-08-31 00:00:00",Voluntary,"Found a better opportunity",0
248534502,Darin,Nowakowski,Sales,"Account Management",6531988791,8141465627,8057668487,12104572130,"Individual Contributor",56414,"2018-05-11 00:00:00","2019-02-27 00:00:00",Voluntary,"Career change",0
251722626,Lindie,Galliford,Marketing,"Marketing Research",5174670971,776913542,9743222543,12104572130,"Individual Contributor",70091,"2013-09-13 00:00:00",NULL,NULL,NULL,1
252924804,Silas,McFie,Administration,"Executive Assistants",2350971114,2749334301,6630511380,12104572130,"Individual Contributor",51668,"2019-06-02 00:00:00",NULL,NULL,NULL,1
256717339,Alfy,McGrann,Sales,"Account Management",4932459135,12104572130,NULL,NULL,Manager,94169,"2018-09-03 00:00:00",NULL,NULL,NULL,1
259741855,Niki,Girodon,Software,QA,12104572130,NULL,NULL,NULL,Director,103752,"2012-03-05 00:00:00",NULL,NULL,NULL,1
263295907,Alyce,Gooding,Operations,"Project Management",1740357466,12104572130,NULL,NULL,Manager,90762,"2020-09-22 00:00:00",NULL,NULL,NULL,1
267603843,Hussein,Coomer,Software,"Software Development",7392629634,9900405594,1091647106,12104572130,"Individual Contributor",91308,"2019-03-28 00:00:00",NULL,NULL,NULL,1
269321284,Gabbi,Dallender,Software,"Software Development",4719965456,2018169686,1091647106,12104572130,"Individual Contributor",77738,"2018-03-04 00:00:00",NULL,NULL,NULL,1
271236772,Dill,Count,Sales,"Account Management",6343662129,1074347333,12104572130,NULL,"Team Lead",74001,"2017-08-06 00:00:00",NULL,NULL,NULL,1
281512813,Nickie,"Mc Giffin",Administration,Travel,7862391428,4096113579,5419153998,12104572130,"Individual Contributor",71013,"2019-01-10 00:00:00",NULL,NULL,NULL,1
284629894,Roxane,Feasby,"Customer Service","Customer Support",3087133131,4701018058,9657388599,12104572130,"Individual Contributor",73323,"2017-07-25 00:00:00",NULL,NULL,NULL,1
285196675,Goddart,Kernock,Marketing,Advertising,2282440500,1949400041,12104572130,NULL,"Team Lead",100255,"2012-02-20 00:00:00",NULL,NULL,NULL,1
291088807,Ebeneser,Eusden,Sales,"Account Management",5103103148,256717339,1074347333,12104572130,"Individual Contributor",68615,"2013-12-26 00:00:00",NULL,NULL,NULL,1
291612756,Merry,Abelevitz,R&D,"Product Design",7296779676,5325728346,3792599203,12104572130,"Individual Contributor",95739,"2015-09-27 00:00:00",NULL,NULL,NULL,1
292754185,Darnell,Beavon,Finance,Auditing,135888623,4860054560,8996729135,12104572130,"Individual Contributor",82748,"2014-04-12 00:00:00",NULL,NULL,NULL,1
293030400,Arnie,Spillman,Legal,Litigation,5884685211,5406372599,2591261030,12104572130,"Individual Contributor",89464,"2016-11-19 00:00:00",NULL,NULL,NULL,1
293579828,Mirabel,Bridgnell,Operations,"Supply Chain",5857782715,9452810041,12104572130,NULL,"Team Lead",85620,"2014-11-09 00:00:00",NULL,NULL,NULL,1
294458370,Hedvige,Constantinou,Finance,Accounting,5683220301,3913723636,5400546882,12104572130,"Individual Contributor",87780,"2012-07-31 00:00:00",NULL,NULL,NULL,1
300085851,Ruth,Ludwikiewicz,Marketing,"Public Relations",5601261629,7505933947,1949400041,12104572130,"Individual Contributor",77960,"2016-10-18 00:00:00",NULL,NULL,NULL,1
301412823,Ellyn,Collihole,Software,QA,5200779776,7297337598,5942974370,12104572130,"Individual Contributor",73714,"2014-01-11 00:00:00",NULL,NULL,NULL,1
302596366,Sandye,Pidgeon,Finance,"Financial Planning",3031342969,9341365400,4691268378,12104572130,"Individual Contributor",88297,"2021-01-23 00:00:00",NULL,NULL,NULL,1
302887809,Deane,Doggrell,HR,Recruiting,12104572130,NULL,NULL,NULL,Director,78466,"2021-03-19 00:00:00",NULL,NULL,NULL,1
306951699,Rhody,Comber,Finance,Auditing,1648354202,8876294130,4691268378,12104572130,"Individual Contributor",91686,"2017-06-28 00:00:00",NULL,NULL,NULL,1
314347057,Sargent,Pyser,Sales,"Sales Operations",133287801,6343662129,2188325953,12104572130,"Individual Contributor",74287,"2013-01-18 00:00:00",NULL,NULL,NULL,1
314525883,Kristine,Trunks,Marketing,"Marketing Research",7660291466,9980763396,4092540016,12104572130,"Individual Contributor",67328,"2016-07-18 00:00:00","2018-06-14 00:00:00",Involuntary,Performance,0
315421483,Padriac,Vigne,Software,"Software Development",1327507817,12104572130,NULL,NULL,Manager,88872,"2017-01-06 00:00:00",NULL,NULL,NULL,1
315588566,Rodrigo,Blaxall,"Customer Service","Customer Support",7028724657,6214299923,9657388599,12104572130,"Individual Contributor",51763,"2021-09-22 00:00:00",NULL,NULL,NULL,1
316146636,Erl,Bordman,Sales,"Sales Operations",2169536929,12104572130,NULL,NULL,Manager,60682,"2019-04-09 00:00:00",NULL,NULL,NULL,1
318067557,Der,Martinson,Sales,"Sales Operations",4618795010,4098218245,12104572130,NULL,"Team Lead",91078,"2012-10-15 00:00:00",NULL,NULL,NULL,1
327594002,Gweneth,Rivelon,Software,"Software Development",2687095372,642542467,6372547560,12104572130,"Individual Contributor",90618,"2019-03-21 00:00:00",NULL,NULL,NULL,1
331661857,Christos,MacCaghan,HR,Recruiting,5980149977,9510187895,2874824995,12104572130,"Individual Contributor",65010,"2018-07-07 00:00:00",NULL,NULL,NULL,1
332395034,Arnie,O'Spillane,"Product Development","Product Management",7708534066,5793341199,5207980214,12104572130,"Individual Contributor",80083,"2016-08-16 00:00:00",NULL,NULL,NULL,1
335195353,Berthe,Slott,Administration,"Executive Assistants",9780328636,7066304704,3373364129,12104572130,"Individual Contributor",56613,"2021-11-07 00:00:00",NULL,NULL,NULL,1
335918944,Maynord,Donat,Sales,"Sales Operations",271236772,4527024823,3664844848,12104572130,"Individual Contributor",86533,"2012-09-18 00:00:00",NULL,NULL,NULL,1
338669373,Tedman,Pollitt,Legal,"Corporate Law",5378368635,9988968226,5930096966,12104572130,"Individual Contributor",100024,"2020-03-07 00:00:00",NULL,NULL,NULL,1
340054490,Gisele,Keetch,Administration,Facilities,4095109297,7529168424,5419153998,12104572130,"Individual Contributor",65089,"2012-10-08 00:00:00",NULL,NULL,NULL,1
340589918,Oliver,Nissle,Operations,Logistics,9452810041,12104572130,NULL,NULL,Manager,67799,"2014-08-20 00:00:00",NULL,NULL,NULL,1
345003369,Tatiania,Bosquet,HR,Benefits,2771745961,8421163041,12104572130,NULL,"Team Lead",63655,"2019-06-09 00:00:00",NULL,NULL,NULL,1
347911361,D'arcy,Lewtey,Administration,"Executive Assistants",6216076748,7066304704,5419153998,12104572130,"Individual Contributor",69215,"2021-11-22 00:00:00",NULL,NULL,NULL,1
352683006,Micheil,Manthorpe,Operations,"Project Management",4701277735,340589918,9843016922,12104572130,"Individual Contributor",82615,"2015-04-15 00:00:00",NULL,NULL,NULL,1
358211993,Thaddus,Gleed,Operations,"Project Management",9549222060,91052068,8488156355,12104572130,"Individual Contributor",82696,"2014-05-30 00:00:00",NULL,NULL,NULL,1
358547079,Astra,Scollan,"Product Development","Project Management",7847079178,3002121194,765808111,12104572130,"Individual Contributor",76880,"2021-01-25 00:00:00",NULL,NULL,NULL,1
